accuracy;loss;val_accuracy;val_loss
0.6159110069274902;0.6355306506156921;0.7167235612869263;0.6151952147483826
0.5808383226394653;0.6480679512023926;0.7167235612869263;0.6122116446495056
0.6142001748085022;0.6385338306427002;0.7201365232467651;0.609303891658783
0.6535500288009644;0.6326940059661865;0.7269624471664429;0.6065780520439148
0.6347305178642273;0.6281583905220032;0.7372013926506042;0.6037552952766418
0.6321642398834229;0.6215329170227051;0.744027316570282;0.6011362671852112
0.6390076875686646;0.6250549554824829;0.7474402785301208;0.5984495878219604
0.6321642398834229;0.6268821358680725;0.7542662024497986;0.595863938331604
0.6372968554496765;0.6322176456451416;0.7747440338134766;0.5934683680534363
0.6621043682098389;0.6284199357032776;0.7781569957733154;0.5910753011703491
0.6680923700332642;0.61952805519104;0.7781569957733154;0.5887753367424011
0.6629598140716553;0.6137603521347046;0.7781569957733154;0.5863103866577148
0.6877673268318176;0.6081891059875488;0.7781569957733154;0.5839211940765381
0.6817793250083923;0.6073449850082397;0.7815699577331543;0.5817551612854004
0.6629598140716553;0.6178109645843506;0.7849829196929932;0.5796537399291992
0.682634711265564;0.6124745607376099;0.7849829196929932;0.577490508556366
0.6792129874229431;0.607981264591217;0.788395881652832;0.5753329396247864
0.6903336048126221;0.6062358021736145;0.788395881652832;0.5732225179672241
0.6971770524978638;0.595966637134552;0.7952218651771545;0.5710238218307495
0.7031651139259338;0.6022248268127441;0.7952218651771545;0.5690003633499146
0.6911890506744385;0.5905410647392273;0.7952218651771545;0.5669641494750977
0.7005987763404846;0.5905656814575195;0.7986348271369934;0.5650049448013306
0.7082976698875427;0.5957008004188538;0.7986348271369934;0.5630007386207581
0.71257483959198;0.5863462090492249;0.7986348271369934;0.5609580278396606
0.7211291790008545;0.5940539240837097;0.7986348271369934;0.559048056602478
0.7177074551582336;0.5954470038414001;0.7986348271369934;0.55722975730896
0.7057313919067383;0.5909848213195801;0.7986348271369934;0.5553628206253052
0.7117193937301636;0.5979840755462646;0.7986348271369934;0.5536056756973267
0.7108640074729919;0.5927923917770386;0.7952218651771545;0.5518244504928589
0.7142857313156128;0.5835559964179993;0.7952218651771545;0.550021767616272
0.7254063487052917;0.5853012800216675;0.7918089032173157;0.5481639504432678
0.7228400111198425;0.5844366550445557;0.7918089032173157;0.5464658737182617
0.7365269660949707;0.5768851637840271;0.7918089032173157;0.5446553230285645
0.7117193937301636;0.5863822102546692;0.7918089032173157;0.5429797172546387
0.7279726266860962;0.5752620100975037;0.7918089032173157;0.5412555932998657
0.753635585308075;0.5733295679092407;0.7918089032173157;0.5395410656929016
0.7373823523521423;0.576166570186615;0.7952218651771545;0.5378787517547607
0.7390932440757751;0.5757560133934021;0.7952218651771545;0.5361548662185669
0.7570573091506958;0.5829750299453735;0.7986348271369934;0.5345690846443176
0.7416595220565796;0.5725396275520325;0.7986348271369934;0.5329986214637756
0.740804135799408;0.558944582939148;0.8020477890968323;0.5312206149101257
0.7382377982139587;0.5713933706283569;0.8020477890968323;0.529547929763794
0.740804135799408;0.5702051520347595;0.8020477890968323;0.5279261469841003
0.7442258596420288;0.5707842707633972;0.80887371301651;0.5263857245445251
0.7664670944213867;0.5626583695411682;0.80887371301651;0.5247629284858704
0.7450812458992004;0.5751597881317139;0.80887371301651;0.5232087969779968
0.7604790329933167;0.5683932304382324;0.80887371301651;0.5216668248176575
0.7544910311698914;0.5552274584770203;0.8054607510566711;0.52006995677948
0.7485029697418213;0.5678192377090454;0.8054607510566711;0.5185412168502808
0.7733105421066284;0.5560288429260254;0.80887371301651;0.5168952941894531
0.7587682008743286;0.5566971302032471;0.80887371301651;0.515298068523407
0.753635585308075;0.5524976849555969;0.8122866749763489;0.5137084722518921
0.7818648219108582;0.551217257976532;0.8156996369361877;0.5120987892150879
0.7715996503829956;0.5606949925422668;0.8191125988960266;0.5105377435684204
0.7767322659492493;0.5511660575866699;0.8225256204605103;0.5089378952980042
0.7596235871315002;0.5546592473983765;0.8259385824203491;0.507452130317688
0.7621899247169495;0.5530105829238892;0.8225256204605103;0.5058904886245728
0.7587682008743286;0.5517487525939941;0.8259385824203491;0.5043661594390869
0.7733105421066284;0.5437062978744507;0.8259385824203491;0.5028278827667236
0.7758768200874329;0.5457128286361694;0.829351544380188;0.5013074278831482
0.7707442045211792;0.5515597462654114;0.829351544380188;0.49979090690612793
